DateID,ID,RefGipfel,FileName Strava,Datum Start,Datum End,Month,Year,Saison,Typ,Art,Unterart,Org,Tage,Titel Strava,Remarks,Ziel,Ziel Typ,Route,öbernachtung,D,B,A,J,Weitere Teilnehmer,Anlass,Bemerkung,Distanz,Dauer,Schwierigkeit,Aufstieg,Abstieg,Links Routen,Links Fotos,Links,Fotos?,Album auf Google+?,Hikr Eintrag,Type,Link,,Datum Start,ID
D20081019,1052,#NV,#NV,19.10.08,19.10.08,10,2008,2008 So,Sommer,Sonstiges,Velotour,Privat,1,#NV,,Tierpark Arth-Goldau,Velotour,Seewen - SÅdufer Lauerzersee - Tierpark Goldau,,x,x,x,x,"Marianne, Martin, Antonia",Privat,,,,,,,,,,,,,,,,19.10.08,1052
D20090410,1053,#NV,#NV,10.4.09,13.4.09,4,2009,2009 So,Sommer,Sonstiges,Velotour,Privat,4,#NV,,Flughafen - Luzern,Velotour,Tag 1: Flughafen Kloten - Baden; Tag 2: Baden - Beinwil; Tag 3: Beinwil Luzern; Tag 4: Luzern Verkehrshaus,,x,x,x,x,,Privat,,,,,,,,,,,,,,,,10.4.09,1053
D20090521,1054,#NV,20090521-132043-Ride.gpx,21.5.09,24.5.09,5,2009,2009 So,Sommer,Sonstiges,Velotour,Privat,4,Velotour entlang dem Doubs in 4 Tagen,,Doubs,Velotour,Tag 1: Les Breuleux - Saignelegier; Tag 2: Saignelegier - Tariche; Tag 3: Tariche - Grotte de RÇcläre; Tag 4: Grotte de RÇcläre - Porrentruy,,x,x,x,x,,Privat,,,,,,,,,,,,,,,,21.5.09,1054
D20090613,1055,#NV,20090613-060000-Ride.gpx,13.6.09,13.6.09,6,2009,2009 So,Sommer,Sonstiges,Velotour,Privat,1,Velotour Schaffhausen - Eglisau,,Schaffhausen - Eglisau,Velotour,Schaffhausen - Eglisau,,x,x,x,x,"Jiji, Baba",Privat,,,,,,,,,,,,,,,,13.6.09,1055
D20090726,1056,#NV,20090726-060000-Ride.gpx,26.7.09,8.8.09,8,2009,2009 So,Sommer,Sonstiges,Velotour,Privat,14,Velotour entlang der Aare in 14 Tagen,,Aaretour,Velotour,Meiringen - Brinez - Interlaken - Thun - Bern - Sulz - Biel - Solothurn - Aarbrugg - Brugg - Waldshut - Mammern (Billeters),,x,x,x,x,,Privat,,,,,,,,,,,,,,,,26.7.09,1056
D20100522,1057,#NV,#NV,22.5.10,24.5.10,5,2010,2010 So,Sommer,Sonstiges,Velotour,Privat,3,#NV,,Visp - Martigny,Velotour,Visp - Susten (öbernachtung) - Sion - Martigny,Zeltplatz Susten / Sion,x,x,x,x,Familie Rupp,,,,,,,,,,,y,y,,,,,22.5.10,1057
D20100703,1058,#NV,#NV,3.7.10,4.7.10,7,2010,2010 So,Sommer,Wandern,Wanderung,Privat,2,#NV,,KrîntenhÅtte,HÅtte,Erstfeld - Bodenberg (Taxi) - Schattig Boden - Fulensee - KrîntenhÅtte (öbernachtung) - retour,KrîntenhÅtte,x,x,x,x,"Fam. Moor, Fam. Zeller, Fam. Gubser, Fam. von Rosmarie, Fam. Leutwyler",Klassenwanderung,,,,,,,,,,,,,,,,3.7.10,1058
D20100726,1059,4,#NV,26.7.10,27.7.10,7,2010,2010 So,Sommer,Wandern,Alpintour,Privat,2,#NV,,SÑntis,Gipfel,Wasserauen - Seealpsee - Ebenalp - SchÑfler - Blau Schnee - SÑntis - Lisengrat - Rotsteinpass - Wildhaus,"Hotel Forelle, Seealpsee",x,,,,Ran Chone,Privat,,,,,,,,,,,,leuti,Kurzbericht,http://www.hikr.org/tour/post99613.html,,26.7.10,1059
D20100804,1060,6,20100804-060000-Ride.gpx,4.8.10,4.8.10,8,2010,2010 So,Sommer,Wandern,Alpintour,Privat,1,Wanderung Piz Languard,,Piz Languard,Gipfel,Alp Languard - Camana Georgy - Piz Languard (und retour),,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,937,937,,,,,,,leuti,Kurzbericht,http://www.hikr.org/tour/post99610.html,,4.8.10,1060
D20100807,1061,7,#NV,7.8.10,7.8.10,8,2010,2010 So,Sommer,Wandern,Alpintour,Privat,1,#NV,,Munt Pers,Gipfel,Diavolezza - Munt Pers - Diavolezza,,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,234,234,,,,,,,leuti,Kurzbericht,http://www.hikr.org/tour/post99611.html,,7.8.10,1061
D20100808,1062,8,20100808-060000-Hike.gpx,8.8.10,8.8.10,8,2010,2010 So,Sommer,Wandern,Hochtour,Mit BergfÅhrer,1,Hochtour Piz PalÅ,,Piz PalÅ,Gipfel,Diavolezza - Piz PalÅ (Normalweg) - gleicher Weg zurÅck,Berghaus Diavolezza,x,,,,1 BergfÅhrer und 2 weitere Teilnehmer,Sommerferien,Organisiert durch Berschule Pontresina,,,,,,,,,,,leuti,Kurzbericht,http://www.hikr.org/tour/post99617.html,,8.8.10,1062
D20101031,1063,9,20101031-070000-Hike.gpx,31.10.10,31.10.10,10,2010,2010 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Hirzeli - Planggenstock ,,Hirzeli & Planggenstock,Gipfel,Morgenholz - Hirzeli - Planngenstock - Bodenberg - Morgenholz,,x,x,x,x,"Jana, Alessia, Bettina",,,,,,,,,,,,,x,,,,31.10.10,1063
D20101128,1064,#NV,20101128-070000-Hike.gpx,28.11.10,28.11.10,11,2010,2010/11 Wi,Winter,Wandern,Schneeschuhwanderung,Privat,1,Schneeschuhtour Mullerenberg,,Mullerenberg,Rundtour,,,x,x,x,x,"Jana, Alessia",,Bettina war in Davos am Langlaufen,,,,,,,,,,,,,,,28.11.10,1064
D20101218,1065,11,#NV,18.12.10,18.12.10,12,2010,2010/11 Wi,Winter,Wandern,Winterwanderung,Privat,1,#NV,,Etzel,Gipfel,,,x,x,x,x,"Jana, Alessia, Bettina",,Nachtessen im Kulm und Schlittenfahrt zurÅck,,,,,,,,,,,,,,,18.12.10,1065
D20101224,1066,12,#NV,24.12.10,24.12.10,12,2010,2010/11 Wi,Winter,Wandern,Winterwanderung,Privat,1,#NV,,Etzel,Gipfel,,,x,x,x,x,"Jana, Alessia, Bettina",,,,,,,,,,,,,,,,,24.12.10,1066
D20101226,1067,13,#NV,26.12.10,26.12.10,12,2010,2010/11 Wi,Winter,Wandern,Schneeschuhwanderung,Privat,1,#NV,,Tanzboden,Gipfel,,,x,x,x,x,"Jana, Alessia, Bettina",,,,,,,,,,,,,,,,,26.12.10,1067
D20101231,1068,#NV,#NV,31.12.10,2.1.11,1,2010,2010/11 Wi,Winter,Wandern,Schneeschuhwanderung,Privat,3,#NV,,Ortstockhaus,HÅtte,Tag 1: Braunwald - GrotzenbÅel - Ortstockhaus; Tag 2: Ortstockhaus - Gumen; Tag 3: Ortstockhaus - GrotzenbÅel - Braunwald,Ortstockhaus,x,x,x,x,"Jana, Alessia, Bettina 
Familie Zeller-HÅrlimann",Neujahr,,,,,,,,,,,,,,,,31.12.10,1068
D20110113,1069,#NV,#NV,13.1.11,13.1.11,1,2011,2010/11 Wi,Winter,Skifahren,Skitour,Ausbildung,1,#NV,,öbungstag BrochhÅtte,Rundtour,,BrochhÅtte,x,,,,Teilnehmer SAC Skitourenkurs,SAC Skitouren-EinfÅhrungskurs,,,,,,,,,,,,,,,,13.1.11,1069
D20110114,1070,14,20110114-070000-BackcountrySki.gpx,14.1.11,14.1.11,1,2011,2010/11 Wi,Winter,Skifahren,Skitour,Ausbildung,1,Skitour Am LÑtzen Wang,,Am LÑtzen Wang,Gipfel,,BrochhÅtte,x,,,,Teilnehmer SAC Skitourenkurs,SAC Skitouren-EinfÅhrungskurs,,,,,,,,,,,,leuti,Kurzbericht,http://www.hikr.org/tour/post99618.html,,14.1.11,1070
D20110115,1071,37,20110115-070000-BackcountrySki.gpx,15.1.11,15.1.11,1,2011,2010/11 Wi,Winter,Skifahren,Skitour,Ausbildung,1,Skitour Schrybershîrnli,,Schrybershîrnli,Gipfel,,BrochhÅtte,x,,,,Teilnehmer SAC Skitourenkurs,SAC Skitouren-EinfÅhrungskurs,,,,,,,,,,,,,,,,15.1.11,1071
D20110116,1072,38,20110116-070000-BackcountrySki.gpx,16.1.11,16.1.11,1,2011,2010/11 Wi,Winter,Skifahren,Skitour,Ausbildung,1,Skitour Grindelgrat,,Grindelgrat,Gipfel,,BrochhÅtte,x,,,,Teilnehmer SAC Skitourenkurs,SAC Skitouren-EinfÅhrungskurs,,,,,,,,,,,,,,,,16.1.11,1072
D20110206,1073,15,#NV,6.2.11,6.2.11,2,2011,2010/11 Wi,Winter,Skifahren,Skitour,Privat,1,#NV,,Tanzboden,Gipfel,,,x,x,x,x,"Jana, Alessia, Bettina",,Jana & Alessia mit Schneeschuhen hoch und mit Skis runter,,,,,,,,,,,,,,,6.2.11,1073
D20110319,1074,16,20110319-070000-BackcountrySki.gpx,19.3.11,19.3.11,3,2011,2010/11 Wi,Winter,Skifahren,Skitour,Privat,1,Skitour Piz Beverin,,Piz Beverin,Gipfel,,Hotel Piz Wergenstein,x,,,,Hakon,Privat,,,,,,,,,,,,x,,,,19.3.11,1074
D20110320,1075,17,20110320-070000-BackcountrySki.gpx,20.3.11,20.3.11,3,2011,2010/11 Wi,Winter,Skifahren,Skitour,Privat,1,Skitour Bruschghorn,,Bruschghorn,Gipfel,,,x,,,,Hakon,Privat,,,,,,,,,,,,x,,,,20.3.11,1075
D20110411,1076,18,20110411-060000-BackcountrySki.gpx,11.4.11,11.4.11,4,2011,2010/11 Wi,Winter,Skifahren,Skitour,Privat,1,Mittagspitz,,Mittagspitz,Gipfel,Fideriser Heuberge - Mittagshorn,,x,x,,,Bettina,,,,,,,,,,,,,x,,,,11.4.11,1076
D20110521,1077,19,20110521-060000-BackcountrySki.gpx,21.5.11,21.5.11,5,2011,2010/11 Wi,Winter,Skifahren,Skihochtour,SL TN,1,Skitour Dammastock,,Dammastock,Gipfel,Belvedere - Dammastock,,x,,,,"Urs Gisler, Christoph KÅng, Madeleine MÅller, Leila Kappeler, Dieter Riklin, Michel DÇläze",SL Berg & Ski,,,,,,,,,,,,El Chasqui,Normal,,,21.5.11,1077
D20110602,1078,20,20110602-060000-Hike.gpx,2.6.11,3.6.11,6,2011,2011 So,Sommer,Wandern,Alpintour,Privat,2,Wanderung Walenstadtberg - Sennis - Alvier (in 2 Tagen),,Alvier,Gipfel,"Reha Walenstadtberg - RÅffenen - Schwamm - LÅsis - BÅchel - Kurhaus Sennis Alp (öbernachtung) - Malun - Chemmi - Alivier - Barbielergrat - Stofel - Kurhaus Alvier, Malanserholz",Kurhaus Sennis Alp,x,x,x,x,"Jana, Alessia, Bettina",,,,,,,,,,,,,x,,,,2.6.11,1078
D20110619,1079,#NV,#NV,19.6.11,20.6.11,6,2011,2011 So,Sommer,Wandern,Hochtour,Ausbildung,2,#NV,,Eiskurs Steingletscher,Rundtour,,Hotel Steingletscher,x,,,,Teilnehmer SAC Skitourenkurs (siehe Evernotes),,,,,,,,,,,,,,,,,19.6.11,1079
D20110709,1080,21,20110709-060000-Hike.gpx,9.7.11,9.7.11,7,2011,2011 So,Sommer,Wandern,Alpintour,Privat,1,Wanderung LÑgeren,,LÑgeren,Gipfel,Baden - LÑgeren Hochwacht - Steinmauer,,x,x,,,Bettina,,,,,,,,,,,,,x,,,,9.7.11,1080
D20110801,1081,#NV,20110801-060000-Hike.gpx,1.8.11,1.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Gotthard I - Aufstieg TreschhÅtte,,Gotthard I - TreschhÅtte,HÅtte,Gurtnellen - Fellital - TreschhÅtte,TreschhÅtte,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,,,,,,,,,,,,,1.8.11,1081
D20110802,1082,#NV,20110802-060000-Hike.gpx,2.8.11,2.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Gotthard II - Oberalppass,,Gotthard II - Oberalppass,HÅtte,TreschhÅtte - FellilÅcke - Oberalppass,Hotel Oberalppass,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,,,,,,,,,,,,,2.8.11,1082
D20110803,1083,22,20110803-060000-Hike.gpx,3.8.11,3.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Gotthard III - MaighelshÅtte,,Gotthard III - MaighelshÅtte,Gipfel,Oberalppass - Tomasee - MaighelshÅtte (+ Piz Cavradi),MaighelshÅtte,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,,,,,,,,,,,,,3.8.11,1083
D20110804,1084,23,20110804-060000-Hike.gpx,4.8.11,4.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Gotthard IV - CadlimohÅtte,,Gotthard IV - CadlimohÅtte,Gipfel,MaighelshÅtte - Passo Bornegno - CadlimohÅtte (+ Punta Negra),CadlimohÅtte,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,,,,,,,,,,,,,4.8.11,1084
D20110805,1085,#NV,20110805-060000-Hike.gpx,5.8.11,5.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Gotthard V - Statione Piora,,Gotthard V - Airolo,Rundtour,CadlimohÅtte - Statione Piora,,x,x,x,x,"Jana, Alessia, Bettina",Sommerferien,,,,,,,,,,,,,,,,5.8.11,1085
D20110827,1086,#NV,20110827-060000-Hike.gpx,27.8.11,28.8.11,8,2011,2011 So,Sommer,Wandern,Wanderung,Privat,2,Wanderung Englstenalp - TrÅebsee,,Englstenalp - TrÅebsee,HÅtte,Bidmi - Engstlenalp (öbernachtung) - Jochpass - TrÅebsee,Hotel Engstlenalp,x,x,x,x,"Fam. Moor (Organisation), Fam. Zeller, Fam. Gubser, Fam. von Rosmarie, Fam. Leutwyler",Klassenwanderung,,,,,,,,,,,,,,,,27.8.11,1086
D20110902,1087,24,20110902-060000-Hike.gpx,2.9.11,2.9.11,9,2011,2010 So,Sommer,Wandern,Alpintour,Privat,1,"Wanderung Rophaien, ébneter Stîckli, Diepen",,"Rophaien, ébneter Stîckli - Diepen",Gipfel,Ab Sisikon mit Taxi bis P812 (Riedberg) - TwÑrrÅti - Buggi (Seilbahn) - um Biggigrat - sÅdlich Bluttstîckli - Rophaien - Roten Chîpf - ébneter Stîckli - Diepen - Stelli (siehe Tagebuch) - FirtiggrÑtli - Gitschen - LidernenhÅtte,LidernenhÅtte,x,,,,"Martin, Billy",MÑnner Weekend,,,,,,,,,,,,x,,,,2.9.11,1087
D20110903,1088,27,20110903-060000-Hike.gpx,3.9.11,3.9.11,9,2011,2011 So,Sommer,Wandern,Alpintour,Privat,1,"Wanderung Chaiserstock, Fulen, Rossstock",,"Chaiserstock, Fulen, Rossstock",Gipfel,LidernenhÅtte - am Schmal Stîckli vorbei - Loch - direkt auf P2270 Åber die Lîcher - Chaisertor - Chaiserstock - Chaisertor - unter dem Chaiserstock durch wieder hoch auf den Sattel bis Lidernen Planggeli - P2288 - Fulen - Rossstock - LidernenhÅtte,LidernenhÅtte,x,,,,"Martin, Billy",MÑnner Weekend,,,,,,,,,,,,x,,,,3.9.11,1088
D20110904,1089,123,20110904-060000-Hike.gpx,4.9.11,4.9.11,9,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung HÅenderegg,,HÅenderegg,Gipfel,LidernenhÅtte - Spilauersee - P2138 beim Hagelstock - P2023 - Chalberweid - HÅenderegg - Eggbergen - FlÅelen (Seilbahn),,x,,,,"Martin, Billy",MÑnner Weekend,,,,,,,,,,,,x,,,,4.9.11,1089
D20110912,1090,30,20110912-060000-Hike.gpx,12.9.11,12.9.11,9,2011,2011 So,Sommer,Wandern,Alpintour,Privat,1,Alpintour Haldensteiner und Felsberger Calanda,,Haldensteiner Calanda & Felsberger Calanda,Gipfel,Haldenstein - CalandahÅtte - Haldensteiner Calanda - TÅfels Chilchli - Felsberger Calanda - sÅdwestl. Gerîllhalde - Kunkelpass - Tamins,,x,,,,alleine,,,,,,,,,,,,,x,,,,12.9.11,1090
D20111009,1091,#NV,20111009-060000-Hike.gpx,9.10.11,9.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Winterthur - MÑnnedorf,,Winterthur - MÑnnedorf,Tour,Winterthur - MÑnnedorf,,x,,,,alleine,,,,,,,,,,,,,,,,,9.10.11,1091
D20111014,1092,32,20111014-032359-Hike.gpx,14.10.11,14.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Speer,,Speer,Gipfel,Wesen - Speer,,x,,,,alleine,,,,,,,,,,,,,x,,,,14.10.11,1092
D20111016,1093,33,20111016-032359-Hike.gpx,16.10.11,16.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Wildspitz - Gnipen,,Wildspitz,Gipfel,Start sÅdlich von UnterÑgeri - Blimoos - Alplihorn - Wildspitz - Gnipen - Alpli - Blimoos - Auto,,x,x,x,x,"Jana, Alessia, Bettina",,,,,,,,,,,,,x,,,,16.10.11,1093
D20111022,1094,#NV,20111022-032359-Hike.gpx,22.10.11,22.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Undra Suon - NiwÑrch Suon,,Suonenwanderung im Baltschiderstal,Rundtour,Ausserberg - Undra Suon - Ze Steinu - NiwÑrch Suon - Ausserberg,Brig,x,x,,,Bettina,,,,,,,,,,,,,,,,,22.10.11,1094
D20111023,1095,34,20111023-032359-Hike.gpx,23.10.11,23.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung Stockhorn (Abstieg),,Stockhorn (mit Bahn),Gipfel,"Erlenbach (Simmental) - Stockhorn (mit der Bahn hoch), zu Fuss zur Mittelstation, runter mit der Bahn",,x,x,,,Bettina,,,,,,,,,,,,,,,,,23.10.11,1095
D20111029,1096,35,20111029-032359-Hike.gpx,29.10.11,29.10.11,10,2011,2011 So,Sommer,Wandern,Wanderung,Privat,1,Wanderung HabrÅtispitz,,HabrÅtispitz,Gipfel,AtzmÑnig - P1313 - ChrÅzegg - HabrÅtispitz - Rossboden - AtzmÑnig,,x,x,,,Bettina,,,,,,,,,,,,,x,,,,29.10.11,1096
D20120102,1097,39,20120102-042359-BackcountrySki.gpx,2.1.12,2.1.12,1,2012,2011/12 Wi,Winter,Skifahren,Skitour,Privat,1,Skitour FlÅgespitz,,FlÅgespitz,Gipfel,ArvenbÅel - BrÅcke (P1254) - P1470 - Looch - FlÅgespitz - Zwingenruns - ArvenbÅel,,x,x,,,Bettina,,,,,,,,,,,,,x,,,,2.1.12,1097
D20120107,1098,40,20120107-070000-BackcountrySki.gpx,7.1.12,7.1.12,1,2012,2011/12 Wi,Winter,Skifahren,Skitour,Privat,1,Skitour Piz Lunghin (Versuch),,Piz Lunghin (Versuch),Gipfel,Lift - Tua - Plang Camfer - oberhalb P2167 Richtung Pass Lunghin - Umkehr NÑhe P2476 - RÅckfahrt auf der îstlichen Talseite,,x,,,,Hakon,,,,,,,,,,,,,,,,,7.1.12,1098
